artist,song_title,year,artist_genre,youtube_link,imvdb_url
Terrorvision,Middleman,1994,Desconhecido,https://www.youtube.com/watch?v=bAb_-kzh9yc,https://imvdb.com/video/terrorvision/middleman
Negrita,Rumore,1994,Desconhecido,https://www.youtube.com/watch?v=suozsgYOG3Q,https://imvdb.com/video/negrita/rumore
Sonic Youth,Superstar,1994,Desconhecido,https://www.youtube.com/watch?v=Y21VecIIdBI,https://imvdb.com/video/sonic-youth/superstar
Lush,Hypocrite,1994,Desconhecido,https://www.youtube.com/watch?v=qGVzyby5kcU,https://imvdb.com/video/lush-1/hypocrite
Therapy?,Die Laughing,1994,Desconhecido,https://www.youtube.com/watch?v=HG-gFjnZAcI,https://imvdb.com/video/therapy?/die-laughing
Beck,Loser,1994,Desconhecido,https://www.youtube.com/watch?v=YgSPaXgAdzE,https://imvdb.com/video/beck/loser
Jamiroquai,Light Years,1994,Desconhecido,https://www.youtube.com/watch?v=UmK038mRb-g,https://imvdb.com/video/jamiroquai/light-years
Blur,Parklife,1994,Desconhecido,https://www.youtube.com/watch?v=SIEsmGzo2UE,https://imvdb.com/video/blur/parklife
Tina Arena,Chains,1994,Desconhecido,https://www.youtube.com/watch?v=9FE0vdmKB4A,https://imvdb.com/video/tina-arena/chains
Bad Religion,Infected,1994,Desconhecido,https://www.youtube.com/watch?v=Ik9ofiRTTQM,https://imvdb.com/video/bad-religion/infected
Beck,Beercan,1994,Desconhecido,https://www.youtube.com/watch?v=zVay-RfNGv8,https://imvdb.com/video/beck/beercan
TLC,Creep,1994,Desconhecido,https://www.youtube.com/watch?v=LlZydtG3xqI,https://imvdb.com/video/tlc/creep
Coolio,Fantastic Voyage,1994,Desconhecido,https://www.youtube.com/watch?v=a3QAHZicSjQ,https://imvdb.com/video/coolio/fantastic-voyage
Oasis,Whatever,1994,Desconhecido,https://www.youtube.com/watch?v=kGFTQfXOp1Q,https://imvdb.com/video/oasis/whatever
U96,Love Religion,1994,Desconhecido,https://www.youtube.com/watch?v=l2dOM-Jmikg,https://imvdb.com/video/u96/love-religion
Aerosmith,Crazy,1994,Desconhecido,https://www.youtube.com/watch?v=NMNgbISmF4I,https://imvdb.com/video/aerosmith/crazy
Terrorvision,Oblivion,1994,Desconhecido,https://www.youtube.com/watch?v=5RIlRhXXQjg,https://imvdb.com/video/terrorvision/oblivion
John Mellencamp,L.U.V.,1994,Desconhecido,,https://imvdb.com/video/john-mellencamp/luv
TLC,Waterfalls,1994,Desconhecido,https://www.youtube.com/watch?v=8WEtxJ4-sh4,https://imvdb.com/video/tlc/waterfalls
Therapy?,Nowhere,1994,Desconhecido,https://www.youtube.com/watch?v=5Bcpj-q0Snc,https://imvdb.com/video/therapy?/nowhere
Kim Sanders,Ride,1994,Desconhecido,https://www.youtube.com/watch?v=QOgnUqYI8u8,https://imvdb.com/video/kim-sanders/ride
Fretblanket,Twisted,1994,Desconhecido,https://www.youtube.com/watch?v=Nn8IunsYEHU,https://imvdb.com/video/fretblanket/twisted
Mötley Crüe,Misunderstood,1994,Desconhecido,https://www.youtube.com/watch?v=LoS2_WjRHo8,https://imvdb.com/video/motley-crue/misunderstood
Take That,Babe,1994,Desconhecido,https://www.youtube.com/watch?v=MviFdVHltEM,https://imvdb.com/video/take-that/babe
Alphaville,Fools,1994,Desconhecido,https://www.youtube.com/watch?v=R_aG0AMEWnM,https://imvdb.com/video/alphaville/fools
Seal,Newborn Friend,1994,Desconhecido,https://www.youtube.com/watch?v=wQOmKZCUAy8,https://imvdb.com/video/seal/newborn-friend
Pantera,I'm Broken,1994,Desconhecido,https://www.youtube.com/watch?v=2-V8kYT1pvE,https://imvdb.com/video/pantera/im-broken
